,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
0,1,1,0,0,0,0,0,0,1653,2339,-1,,others
1,2,1,1,0,0,0,759,40,111,43,-1,,others
2,3,1,1,1,0,0,759,40,111,43,-1,,others
3,4,1,1,1,1,0,759,40,111,43,-1,,others
4,5,1,1,1,1,1,759,40,111,43,14,af,others
5,2,1,2,0,0,0,669,89,334,28,-1,,others
6,3,1,2,1,0,0,669,89,334,28,-1,,others
7,4,1,2,1,1,0,669,89,334,28,-1,,others
8,5,1,2,1,1,1,669,89,334,28,90,EUROCORPORATION,others
9,2,1,3,0,0,0,742,124,188,7,-1,,others
10,3,1,3,1,0,0,742,124,188,7,-1,,others
11,4,1,3,1,1,0,742,124,188,7,-1,,others
12,5,1,3,1,1,1,742,124,74,7,34,CONSULENZA,others
13,5,1,3,1,1,2,820,124,5,7,53,E,others
14,5,1,3,1,1,3,829,124,53,7,79,GESTIONE,others
15,5,1,3,1,1,4,888,124,42,7,73,RIFLUTL,others
16,2,1,4,0,0,0,44,258,1578,180,-1,,others
17,3,1,4,1,0,0,44,258,1578,180,-1,,others
18,4,1,4,1,1,0,44,258,1578,111,-1,,others
19,5,1,4,1,1,1,44,258,1578,111,95,  ,others
20,4,1,4,1,2,0,1070,369,4,36,-1,,others
21,5,1,4,1,2,1,1070,369,4,36,95, ,others
22,4,1,4,1,3,0,1070,405,548,33,-1,,others
23,5,1,4,1,3,1,1070,405,548,33,95, ,others
24,2,1,5,0,0,0,1095,295,279,37,-1,,others
25,3,1,5,1,0,0,1095,295,279,37,-1,,others
26,4,1,5,1,1,0,1095,295,279,37,-1,,others
27,5,1,5,1,1,1,1095,296,83,35,93,PER,others
28,5,1,5,1,1,2,1196,295,178,37,92,UFFICIO,others
29,2,1,6,0,0,0,1089,378,222,18,-1,,others
30,3,1,6,1,0,0,1089,378,222,18,-1,,others
31,4,1,6,1,1,0,1089,378,222,18,-1,,others
32,5,1,6,1,1,1,1089,378,70,18,92,CABEL,others
33,5,1,6,1,1,2,1168,378,92,18,95,LEASING,others
34,5,1,6,1,1,3,1269,378,42,18,96,SPA,others
35,2,1,7,0,0,0,44,334,217,136,-1,,others
36,3,1,7,1,0,0,44,334,217,136,-1,,others
37,4,1,7,1,1,0,44,334,213,72,-1,,others
38,5,1,7,1,1,1,44,334,213,72,95,  ,others
39,4,1,7,1,2,0,48,406,213,64,-1,,others
40,5,1,7,1,2,1,48,406,213,64,95,  ,others
41,2,1,8,0,0,0,68,378,158,19,-1,,others
42,3,1,8,1,0,0,68,378,158,19,-1,,others
43,4,1,8,1,1,0,68,378,158,19,-1,,others
44,5,1,8,1,1,1,68,378,158,19,91,PRODUTTORE,produttore_key
45,2,1,9,0,0,0,274,378,681,19,-1,,others
46,3,1,9,1,0,0,274,378,681,19,-1,,others
47,4,1,9,1,1,0,274,378,681,19,-1,,others
48,5,1,9,1,1,1,274,378,70,18,93,CABEL,others
49,5,1,9,1,1,2,353,378,92,18,96,LEASING,others
50,5,1,9,1,1,3,454,378,42,18,96,SPA,others
51,5,1,9,1,1,4,863,378,92,19,92,CLIENTE,cliente_key
52,2,1,10,0,0,0,275,443,504,52,-1,,others
53,3,1,10,1,0,0,275,443,504,52,-1,,others
54,4,1,10,1,1,0,275,443,504,18,-1,,others
55,5,1,10,1,1,1,275,443,80,18,91,EMPOLI,others
56,5,1,10,1,1,2,357,443,19,18,91,-,others
57,5,1,10,1,1,3,385,443,57,18,91,P.ZZA,others
58,5,1,10,1,1,4,450,443,108,18,93,GIUSEPPE,others
59,5,1,10,1,1,5,567,443,134,18,92,GARIBARLDI,others
60,5,1,10,1,1,6,711,443,68,18,96,50063,others
61,4,1,10,1,2,0,275,477,84,18,-1,,others
