,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
0,1,1,0,0,0,0,0,0,1653,2339,-1,,others
1,2,1,1,0,0,0,759,40,111,43,-1,,others
2,3,1,1,1,0,0,759,40,111,43,-1,,others
3,4,1,1,1,1,0,759,40,111,43,-1,,others
4,5,1,1,1,1,1,759,40,111,43,14,af,others
5,2,1,2,0,0,0,669,89,334,28,-1,,others
6,3,1,2,1,0,0,669,89,334,28,-1,,others
7,4,1,2,1,1,0,669,89,334,28,-1,,others
8,5,1,2,1,1,1,669,89,334,28,90,EUROCORPORATION,others
9,2,1,3,0,0,0,742,124,188,7,-1,,others
10,3,1,3,1,0,0,742,124,188,7,-1,,others
11,4,1,3,1,1,0,742,124,188,7,-1,,others
12,5,1,3,1,1,1,742,124,74,7,34,CONSULENZA,others
13,5,1,3,1,1,2,820,124,5,7,53,E,others
14,5,1,3,1,1,3,829,124,53,7,79,GESTIONE,others
15,5,1,3,1,1,4,888,124,42,7,73,RIFLUTL,others
16,2,1,4,0,0,0,44,258,1578,180,-1,,others
17,3,1,4,1,0,0,44,258,1578,180,-1,,others
18,4,1,4,1,1,0,44,258,1578,110,-1,,others
19,5,1,4,1,1,1,44,258,1578,110,95,  ,others
20,4,1,4,1,2,0,1070,368,548,70,-1,,others
21,5,1,4,1,2,1,1070,368,548,70,95,  ,others
22,2,1,5,0,0,0,1095,295,279,37,-1,,others
23,3,1,5,1,0,0,1095,295,279,37,-1,,others
24,4,1,5,1,1,0,1095,295,279,37,-1,,others
25,5,1,5,1,1,1,1095,296,83,35,93,PER,others
26,5,1,5,1,1,2,1196,295,178,37,92,UFFICIO,others
27,2,1,6,0,0,0,1089,378,379,21,-1,,others
28,3,1,6,1,0,0,1089,378,379,21,-1,,others
29,4,1,6,1,1,0,1089,378,379,21,-1,,others
30,5,1,6,1,1,1,1089,378,152,18,42,COSTRUZIONI,others
31,5,1,6,1,1,2,1251,378,171,21,91,CINQUEGRANA,others
32,5,1,6,1,1,3,1430,378,38,18,96,SRL,others
33,2,1,7,0,0,0,44,334,1033,178,-1,,others
34,3,1,7,1,0,0,44,334,1033,178,-1,,others
35,4,1,7,1,1,0,44,334,213,72,-1,,others
36,5,1,7,1,1,1,44,334,213,72,95,  ,others
37,4,1,7,1,2,0,48,406,1029,71,-1,,others
38,5,1,7,1,2,1,48,406,213,71,95,  ,others
39,5,1,7,1,2,2,1066,438,11,39,95, ,others
40,4,1,7,1,3,0,251,477,826,35,-1,,others
41,5,1,7,1,3,1,251,477,23,35,95,  ,others
42,5,1,7,1,3,2,1066,477,11,12,95, ,others
43,2,1,8,0,0,0,68,378,158,19,-1,,others
44,3,1,8,1,0,0,68,378,158,19,-1,,others
45,4,1,8,1,1,0,68,378,158,19,-1,,others
46,5,1,8,1,1,1,68,378,158,19,91,PRODUTTORE,produttore_key
47,2,1,9,0,0,0,274,378,681,21,-1,,others
48,3,1,9,1,0,0,274,378,681,21,-1,,others
49,4,1,9,1,1,0,274,378,681,21,-1,,others
50,5,1,9,1,1,1,274,378,152,18,50,COSTRUZIONI!,others
51,5,1,9,1,1,2,436,378,171,21,92,CINQUEGRANA,others
52,5,1,9,1,1,3,614,378,39,18,96,SRL,others
53,5,1,9,1,1,4,863,378,92,19,92,CLIENTE,cliente_key
54,2,1,10,0,0,0,275,441,496,24,-1,,others
55,3,1,10,1,0,0,275,441,496,24,-1,,others
56,4,1,10,1,1,0,275,441,496,24,-1,,others
57,5,1,10,1,1,1,275,443,71,18,93,PRATO,others
58,5,1,10,1,1,2,354,453,7,2,92,-,others
59,5,1,10,1,1,3,369,443,38,18,91,VIA,others
60,5,1,10,1,1,4,416,443,93,18,91,MAZZINI,others
61,5,1,10,1,1,5,519,441,76,24,91,65/VIA,others
