,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
0,1,1,0,0,0,0,0,0,1653,2339,-1,,others
1,2,1,1,0,0,0,759,40,111,43,-1,,others
2,3,1,1,1,0,0,759,40,111,43,-1,,others
3,4,1,1,1,1,0,759,40,111,43,-1,,others
4,5,1,1,1,1,1,759,40,111,43,14,af,others
5,2,1,2,0,0,0,669,89,334,28,-1,,others
6,3,1,2,1,0,0,669,89,334,28,-1,,others
7,4,1,2,1,1,0,669,89,334,28,-1,,others
8,5,1,2,1,1,1,669,89,334,28,90,EUROCORPORATION,others
9,2,1,3,0,0,0,742,124,188,7,-1,,others
10,3,1,3,1,0,0,742,124,188,7,-1,,others
11,4,1,3,1,1,0,742,124,188,7,-1,,others
12,5,1,3,1,1,1,742,124,74,7,34,CONSULENZA,others
13,5,1,3,1,1,2,820,124,5,7,53,E,others
14,5,1,3,1,1,3,829,124,53,7,79,GESTIONE,others
15,5,1,3,1,1,4,888,124,42,7,73,RIFLUTL,others
16,2,1,4,0,0,0,44,360,1578,211,-1,,others
17,3,1,4,1,0,0,44,360,1578,211,-1,,others
18,4,1,4,1,1,0,44,360,1045,69,-1,,others
19,5,1,4,1,1,1,44,360,1045,69,95,     ,others
20,4,1,4,1,2,0,251,431,826,58,-1,,others
21,5,1,4,1,2,1,251,431,22,58,95,  ,others
22,5,1,4,1,2,2,1066,478,11,11,95, ,others
23,4,1,4,1,3,0,251,489,1371,42,-1,,others
24,5,1,4,1,3,1,251,489,1371,42,95,    ,others
25,4,1,4,1,4,0,251,531,1371,40,-1,,others
26,5,1,4,1,4,1,251,531,1371,40,95,   ,others
27,2,1,5,0,0,0,1095,295,279,37,-1,,others
28,3,1,5,1,0,0,1095,295,279,37,-1,,others
29,4,1,5,1,1,0,1095,295,279,37,-1,,others
30,5,1,5,1,1,1,1095,296,83,35,93,PER,others
31,5,1,5,1,1,2,1196,295,178,37,92,UFFICIO,others
32,2,1,6,0,0,0,1089,369,485,53,-1,,others
33,3,1,6,1,0,0,1089,369,485,53,-1,,others
34,4,1,6,1,1,0,1089,369,485,19,-1,,others
35,5,1,6,1,1,1,1089,370,52,18,81,CICLI,others
36,5,1,6,1,1,2,1152,370,119,18,48,POCCIANTI,others
37,5,1,6,1,1,3,1282,370,20,18,92,DI,others
38,5,1,6,1,1,4,1312,370,120,18,91,POCCIANTI,others
39,5,1,6,1,1,5,1443,370,84,18,92,MARCO,others
40,5,1,6,1,1,6,1535,369,17,19,92,&,others
41,5,1,6,1,1,7,1561,370,13,18,92,C,others
42,4,1,6,1,2,0,1089,404,39,18,-1,,others
43,5,1,6,1,2,1,1089,404,39,18,95,SAS,others
44,2,1,7,0,0,0,226,360,1396,46,-1,,others
45,3,1,7,1,0,0,226,360,1396,46,-1,,others
46,4,1,7,1,1,0,226,360,1396,46,-1,,others
47,5,1,7,1,1,1,226,368,625,38,95,   ,others
48,5,1,7,1,1,2,1574,360,48,8,95, ,others
49,2,1,8,0,0,0,806,368,272,38,-1,,others
50,3,1,8,1,0,0,806,368,272,38,-1,,others
51,4,1,8,1,1,0,806,368,272,38,-1,,others
52,5,1,8,1,1,1,806,368,272,38,95,     ,others
53,2,1,9,0,0,0,68,377,738,20,-1,,others
54,3,1,9,1,0,0,68,377,738,20,-1,,others
55,4,1,9,1,1,0,68,377,738,20,-1,,others
56,5,1,9,1,1,1,68,378,158,19,91,PRODUTTORE,produttore_key
57,5,1,9,1,1,2,0,0,1653,2339,92,|,others
58,5,1,9,1,1,3,274,378,52,18,90,CICLI,others
59,5,1,9,1,1,4,337,378,119,18,88,POCCIANTI,others
60,5,1,9,1,1,5,467,378,19,18,93,DI,others
61,5,1,9,1,1,6,497,378,120,18,85,POCCIANTI,others
