,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
0,1,1,0,0,0,0,0,0,1653,2339,-1,,others
1,2,1,1,0,0,0,759,40,110,43,-1,,others
2,3,1,1,1,0,0,759,40,110,43,-1,,others
3,4,1,1,1,1,0,759,40,110,43,-1,,others
4,5,1,1,1,1,1,759,40,110,43,0,=,others
5,2,1,2,0,0,0,669,89,334,28,-1,,others
6,3,1,2,1,0,0,669,89,334,28,-1,,others
7,4,1,2,1,1,0,669,89,334,28,-1,,others
8,5,1,2,1,1,1,669,89,334,28,90,EUROCORPORATION,others
9,2,1,3,0,0,0,742,124,188,7,-1,,others
10,3,1,3,1,0,0,742,124,188,7,-1,,others
11,4,1,3,1,1,0,742,124,188,7,-1,,others
12,5,1,3,1,1,1,742,124,74,7,34,CONSULENZA,others
13,5,1,3,1,1,2,820,124,5,7,53,E,others
14,5,1,3,1,1,3,829,124,53,7,79,GESTIONE,others
15,5,1,3,1,1,4,888,124,42,7,73,RIFLUTL,others
16,2,1,4,0,0,0,44,258,1578,552,-1,,others
17,3,1,4,1,0,0,44,258,1578,552,-1,,others
18,4,1,4,1,1,0,44,258,1578,76,-1,,others
19,5,1,4,1,1,1,44,258,1578,76,95, ,others
20,4,1,4,1,2,0,1070,334,552,35,-1,,others
21,5,1,4,1,2,1,1070,334,552,35,95, ,others
22,4,1,4,1,3,0,1070,369,4,36,-1,,others
23,5,1,4,1,3,1,1070,369,4,36,95, ,others
24,4,1,4,1,4,0,1070,405,548,33,-1,,others
25,5,1,4,1,4,1,1070,405,548,33,95, ,others
26,4,1,4,1,5,0,251,438,826,56,-1,,others
27,5,1,4,1,5,1,251,438,826,56,95,      ,others
28,4,1,4,1,6,0,251,494,826,37,-1,,others
29,5,1,4,1,6,1,251,494,826,37,95, ,others
30,4,1,4,1,7,0,44,531,1578,53,-1,,others
31,5,1,4,1,7,1,44,531,1578,53,95,      ,others
32,4,1,4,1,8,0,251,584,839,51,-1,,others
33,5,1,4,1,8,1,251,584,839,51,95,     ,others
34,4,1,4,1,9,0,44,635,1033,66,-1,,others
35,5,1,4,1,9,1,44,635,1033,66,95,      ,others
36,4,1,4,1,10,0,44,701,1033,51,-1,,others
37,5,1,4,1,10,1,44,701,1033,51,95,   ,others
38,4,1,4,1,11,0,44,752,813,58,-1,,others
39,5,1,4,1,11,1,44,752,813,58,95,      ,others
40,2,1,5,0,0,0,1095,295,279,37,-1,,others
41,3,1,5,1,0,0,1095,295,279,37,-1,,others
42,4,1,5,1,1,0,1095,295,279,37,-1,,others
43,5,1,5,1,1,1,1095,296,83,35,93,PER,others
44,5,1,5,1,1,2,1196,295,178,37,92,UFFICIO,others
45,2,1,6,0,0,0,1090,378,137,18,-1,,others
46,3,1,6,1,0,0,1090,378,137,18,-1,,others
47,4,1,6,1,1,0,1090,378,137,18,-1,,others
48,5,1,6,1,1,1,1090,378,77,18,91,BAGART,others
49,5,1,6,1,1,2,1168,378,59,18,96,SRL,others
50,2,1,7,0,0,0,44,334,213,104,-1,,others
51,3,1,7,1,0,0,44,334,213,104,-1,,others
52,4,1,7,1,1,0,44,334,213,72,-1,,others
53,5,1,7,1,1,1,44,334,213,72,95,  ,others
54,4,1,7,1,2,0,48,406,209,32,-1,,others
55,5,1,7,1,2,1,48,406,209,32,95, ,others
56,2,1,8,0,0,0,68,378,158,19,-1,,others
57,3,1,8,1,0,0,68,378,158,19,-1,,others
58,4,1,8,1,1,0,68,378,158,19,-1,,others
59,5,1,8,1,1,1,68,378,158,19,91,PRODUTTORE,produttore_key
60,2,1,9,0,0,0,275,378,680,19,-1,,others
61,3,1,9,1,0,0,275,378,680,19,-1,,others
62,4,1,9,1,1,0,275,378,680,19,-1,,others
63,5,1,9,1,1,1,275,378,77,18,92,BAGART,others
64,5,1,9,1,1,2,353,378,59,18,96,SRL,others
65,5,1,9,1,1,3,863,378,92,19,92,CLIENTE,cliente_key
66,2,1,10,0,0,0,274,460,480,18,-1,,others
67,3,1,10,1,0,0,274,460,480,18,-1,,others
68,4,1,10,1,1,0,274,460,480,18,-1,,others
69,5,1,10,1,1,1,274,460,69,18,92,SESTO,others
70,5,1,10,1,1,2,352,460,119,18,92,FIORENTINO,others
71,5,1,10,1,1,3,475,460,31,18,88,-,others
72,5,1,10,1,1,4,513,460,38,18,95,VIA,others
73,5,1,10,1,1,5,558,460,21,18,95,A.,others
74,5,1,10,1,1,6,590,460,27,18,93,DE,others
75,5,1,10,1,1,7,625,460,93,18,92,GASPERI,others
76,5,1,10,1,1,8,728,460,26,18,96,23,others
77,2,1,11,0,0,0,251,451,612,43,-1,,others
78,3,1,11,1,0,0,251,451,612,43,-1,,others
79,4,1,11,1,1,0,251,451,612,43,-1,,others
80,5,1,11,1,1,1,251,451,612,43,95,    ,others
81,2,1,12,0,0,0,68,458,1470,25,-1,,others
82,3,1,12,1,0,0,68,458,1470,25,-1,,others
83,4,1,12,1,1,0,68,458,1470,25,-1,,others
84,5,1,12,1,1,1,68,459,54,20,96,Unit.,unitloc_key
85,5,1,12,1,1,2,132,460,42,19,96,Loc.,unitloc_key
86,5,1,12,1,1,3,863,460,119,23,91,Operatore,operatore_key
87,5,1,12,1,1,4,1088,459,124,19,95,Alessandro,others
88,5,1,12,1,1,5,1221,460,78,18,93,Barone,others
89,5,1,12,1,1,6,1307,470,7,2,93,-,others
90,5,1,12,1,1,7,1324,459,56,19,92,Mob.,others
91,5,1,12,1,1,8,1389,458,149,24,92,335/5942201,others
92,2,1,13,0,0,0,48,522,1570,2,-1,,others
93,3,1,13,1,0,0,48,522,1570,2,-1,,others
94,4,1,13,1,1,0,48,522,1570,2,-1,,others
95,5,1,13,1,1,1,48,522,1570,2,95, ,others
96,2,1,14,0,0,0,251,531,612,2,-1,,others
97,3,1,14,1,0,0,251,531,612,2,-1,,others
98,4,1,14,1,1,0,251,531,612,2,-1,,others
99,5,1,14,1,1,1,251,531,612,2,95, ,others
100,2,1,15,0,0,0,68,541,1174,20,-1,,others
101,3,1,15,1,0,0,68,541,1174,20,-1,,others
102,4,1,15,1,1,0,68,541,1174,20,-1,,others
103,5,1,15,1,1,1,68,541,113,20,90,Referente,referente_key
104,5,1,15,1,1,2,275,542,93,18,84,DEBORA,others
105,5,1,15,1,1,3,376,557,4,3,72,.,others
106,5,1,15,1,1,4,863,542,26,19,93,CF,cfproduttore_key
107,5,1,15,1,1,5,898,541,125,20,92,Produttore,cfproduttore_key
108,5,1,15,1,1,6,1089,542,153,18,96,06586640481,others
109,2,1,16,0,0,0,44,531,819,40,-1,,others
110,3,1,16,1,0,0,44,531,819,40,-1,,others
111,4,1,16,1,1,0,44,531,819,40,-1,,others
112,5,1,16,1,1,1,44,531,24,40,95, ,others
113,5,1,16,1,1,2,181,533,682,38,95,   ,others
114,2,1,17,0,0,0,168,582,1454,40,-1,,others
115,3,1,17,1,0,0,168,582,1454,40,-1,,others
116,4,1,17,1,1,0,168,582,1454,40,-1,,others
117,5,1,17,1,1,1,168,584,696,38,95,   ,others
118,5,1,17,1,1,2,1311,582,311,4,95,  ,others
119,2,1,18,0,0,0,66,594,947,20,-1,,others
120,3,1,18,1,0,0,66,594,947,20,-1,,others
121,4,1,18,1,1,0,66,594,947,20,-1,,others
122,5,1,18,1,1,1,66,594,102,20,92,Telefono,telefono_key
123,5,1,18,1,1,2,274,595,40,18,96,055,others
124,5,1,18,1,1,3,322,595,97,18,96,4200006,others
125,5,1,18,1,1,4,864,594,61,20,96,Email,emailcliente_key
126,5,1,18,1,1,5,933,594,80,20,96,Cliente,emailcliente_key
127,2,1,19,0,0,0,44,584,22,40,-1,,others
128,3,1,19,1,0,0,44,584,22,40,-1,,others
129,4,1,19,1,1,0,44,584,22,40,-1,,others
130,5,1,19,1,1,1,44,584,22,40,95, ,others
131,2,1,20,0,0,0,1090,594,221,24,-1,,others
132,3,1,20,1,0,0,1090,594,221,24,-1,,others
133,4,1,20,1,1,0,1090,594,221,24,-1,,others
134,5,1,20,1,1,1,1090,594,221,24,92,info@bagartsrl.com,others
135,2,1,21,0,0,0,51,629,1567,2,-1,,others
136,3,1,21,1,0,0,51,629,1567,2,-1,,others
137,4,1,21,1,1,0,51,629,1567,2,-1,,others
138,5,1,21,1,1,1,51,629,1567,2,95, ,others
139,2,1,22,0,0,0,44,638,249,45,-1,,others
140,3,1,22,1,0,0,44,638,249,45,-1,,others
141,4,1,22,1,1,0,44,638,249,45,-1,,others
142,5,1,22,1,1,1,44,638,249,45,95,  ,others
143,2,1,23,0,0,0,293,647,131,24,-1,,others
144,3,1,23,1,0,0,293,647,131,24,-1,,others
145,4,1,23,1,1,0,293,647,131,24,-1,,others
146,5,1,23,1,1,1,293,647,131,24,96,10/02/2022,others
147,2,1,24,0,0,0,424,638,45,40,-1,,others
148,3,1,24,1,0,0,424,638,45,40,-1,,others
149,4,1,24,1,1,0,424,638,45,40,-1,,others
150,5,1,24,1,1,1,424,638,45,40,95, ,others
151,2,1,25,0,0,0,68,648,1243,24,-1,,others
152,3,1,25,1,0,0,68,648,1243,24,-1,,others
153,4,1,25,1,1,0,68,648,1243,24,-1,,others
154,5,1,25,1,1,1,68,649,52,19,93,Data,datarichiesta_key
155,5,1,25,1,1,2,129,648,101,20,92,Richiesta,datarichiesta_key
156,5,1,25,1,1,3,469,648,73,20,92,Orario,orariorichiesta_key
157,5,1,25,1,1,4,550,648,96,20,92,richiesta,orariorichiesta_key
158,5,1,25,1,1,5,864,648,61,20,93,Email,emailproduttore_key
159,5,1,25,1,1,6,934,648,125,20,92,Produttore,emailproduttore_key
160,5,1,25,1,1,7,0,0,1653,2339,88,|,others
161,5,1,25,1,1,8,1090,648,221,24,88,info@bagartsrl.com,others
162,2,1,26,0,0,0,847,684,771,2,-1,,others
163,3,1,26,1,0,0,847,684,771,2,-1,,others
164,4,1,26,1,1,0,847,684,771,2,-1,,others
165,5,1,26,1,1,1,847,684,771,2,95, ,others
166,2,1,27,0,0,0,1112,705,27,2,-1,,others
167,3,1,27,1,0,0,1112,705,27,2,-1,,others
168,4,1,27,1,1,0,1112,705,27,2,-1,,others
169,5,1,27,1,1,1,1112,705,27,2,95, ,others
