,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
0,1,1,0,0,0,0,0,0,1653,2339,-1,,others
1,2,1,1,0,0,0,759,40,110,43,-1,,others
2,3,1,1,1,0,0,759,40,110,43,-1,,others
3,4,1,1,1,1,0,759,40,110,43,-1,,others
4,5,1,1,1,1,1,759,40,110,43,0,=,others
5,2,1,2,0,0,0,669,89,334,40,-1,,others
6,3,1,2,1,0,0,669,89,334,40,-1,,others
7,4,1,2,1,1,0,669,89,334,40,-1,,others
8,5,1,2,1,1,1,669,89,334,40,91,EUROCORPORATION,others
9,2,1,3,0,0,0,742,124,118,7,-1,,others
10,3,1,3,1,0,0,742,124,118,7,-1,,others
11,4,1,3,1,1,0,742,124,118,7,-1,,others
12,5,1,3,1,1,1,742,124,74,7,26,CONSULENZA,others
13,5,1,3,1,1,2,820,124,5,7,48,E,others
14,5,1,3,1,1,3,829,124,31,7,50,GESTE,others
15,2,1,4,0,0,0,867,153,13,7,-1,,others
16,3,1,4,1,0,0,867,153,13,7,-1,,others
17,4,1,4,1,1,0,867,153,13,7,-1,,others
18,5,1,4,1,1,1,867,153,13,7,96,4,others
19,2,1,5,0,0,0,44,249,1578,199,-1,,others
20,3,1,5,1,0,0,44,249,1578,199,-1,,others
21,4,1,5,1,1,0,44,249,1578,199,-1,,others
22,5,1,5,1,1,1,44,249,1578,199,95,     ,others
23,2,1,6,0,0,0,44,252,1578,362,-1,,others
24,3,1,6,1,0,0,44,252,1578,362,-1,,others
25,4,1,6,1,1,0,947,252,675,57,-1,,others
26,5,1,6,1,1,1,947,252,675,57,95,  ,others
27,4,1,6,1,2,0,386,309,1236,261,-1,,others
28,5,1,6,1,2,1,386,309,1236,261,95,   ,others
29,4,1,6,1,3,0,44,570,1578,44,-1,,others
30,5,1,6,1,3,1,44,570,1578,44,95,  ,others
31,2,1,7,0,0,0,727,266,220,29,-1,,others
32,3,1,7,1,0,0,727,266,220,29,-1,,others
33,4,1,7,1,1,0,727,266,220,29,-1,,others
34,5,1,7,1,1,1,727,266,125,29,92,Tipologia,others
35,5,1,7,1,1,2,863,266,84,24,91,rifiuto,others
36,2,1,8,0,0,0,522,434,978,24,-1,,others
37,3,1,8,1,0,0,522,434,978,24,-1,,others
38,4,1,8,1,1,0,522,434,978,24,-1,,others
39,5,1,8,1,1,1,522,434,107,19,91,Materiale,others
40,5,1,8,1,1,2,637,434,93,19,92,elettrico,others
41,5,1,8,1,1,3,739,440,40,13,93,non,others
42,5,1,8,1,1,4,789,434,115,24,91,pericoloso,others
43,5,1,8,1,1,5,1231,434,68,19,92,Solido,others
44,5,1,8,1,1,6,1308,440,40,13,93,non,others
45,5,1,8,1,1,7,1358,434,142,24,92,pulverulento,others
46,2,1,9,0,0,0,60,497,943,20,-1,,others
47,3,1,9,1,0,0,60,497,943,20,-1,,others
48,4,1,9,1,1,0,60,497,943,20,-1,,others
49,5,1,9,1,1,1,60,497,69,20,93,Classe,others
50,5,1,9,1,1,2,138,497,98,20,92,Pericolo:,others
51,5,1,9,1,1,3,819,497,94,20,88,Destino:,destino_key
52,5,1,9,1,1,4,0,0,1653,2339,82,|,others
53,5,1,9,1,1,5,963,498,40,18,86,R13,others
54,2,1,10,0,0,0,1566,431,27,2,-1,,others
55,3,1,10,1,0,0,1566,431,27,2,-1,,others
56,4,1,10,1,1,0,1566,431,27,2,-1,,others
57,5,1,10,1,1,1,1566,431,27,2,95, ,others
58,2,1,11,0,0,0,107,435,82,18,-1,,others
59,3,1,11,1,0,0,107,435,82,18,-1,,others
60,4,1,11,1,1,0,107,435,82,18,-1,,others
61,5,1,11,1,1,1,107,435,82,18,96,160214,others
62,2,1,12,0,0,0,1566,431,2,27,-1,,others
63,3,1,12,1,0,0,1566,431,2,27,-1,,others
64,4,1,12,1,1,0,1566,431,2,27,-1,,others
65,5,1,12,1,1,1,1566,431,2,27,95, ,others
66,2,1,13,0,0,0,1591,431,2,27,-1,,others
67,3,1,13,1,0,0,1591,431,2,27,-1,,others
68,4,1,13,1,1,0,1591,431,2,27,-1,,others
69,5,1,13,1,1,1,1591,431,2,27,95, ,others
70,2,1,14,0,0,0,44,448,194,122,-1,,others
71,3,1,14,1,0,0,44,448,194,122,-1,,others
72,4,1,14,1,1,0,48,448,190,39,-1,,others
73,5,1,14,1,1,1,48,448,190,39,95,  ,others
74,4,1,14,1,2,0,44,530,16,40,-1,,others
75,5,1,14,1,2,1,44,530,16,40,95, ,others
76,2,1,15,0,0,0,1566,456,27,2,-1,,others
77,3,1,15,1,0,0,1566,456,27,2,-1,,others
78,4,1,15,1,1,0,1566,456,27,2,-1,,others
79,5,1,15,1,1,1,1566,456,27,2,95, ,others
80,2,1,16,0,0,0,279,523,678,7,-1,,others
81,3,1,16,1,0,0,279,523,678,7,-1,,others
82,4,1,16,1,1,0,279,523,678,7,-1,,others
83,5,1,16,1,1,1,279,523,678,7,95, ,others
84,2,1,17,0,0,0,51,527,1567,2,-1,,others
85,3,1,17,1,0,0,51,527,1567,2,-1,,others
86,4,1,17,1,1,0,51,527,1567,2,-1,,others
87,5,1,17,1,1,1,51,527,1567,2,95, ,others
88,2,1,18,0,0,0,60,540,465,63,-1,,others
89,3,1,18,1,0,0,60,540,465,63,-1,,others
90,4,1,18,1,1,0,60,540,326,20,-1,,others
91,5,1,18,1,1,1,60,540,203,20,92,Confezionamento:,confezionamento_key
92,5,1,18,1,1,2,265,546,5,13,94,|,others
93,5,1,18,1,1,3,296,541,10,18,91,1,others
94,5,1,18,1,1,4,315,541,71,18,91,CASSA,others
95,4,1,18,1,2,0,296,585,229,18,-1,,others
96,5,1,18,1,2,1,296,585,229,18,91,EUROCORPORATION,others
97,2,1,19,0,0,0,214,574,1408,47,-1,,others
98,3,1,19,1,0,0,214,574,1408,47,-1,,others
99,4,1,19,1,1,0,214,574,1408,47,-1,,others
100,5,1,19,1,1,1,214,574,1408,47,95,     ,others
101,2,1,20,0,0,0,61,584,153,20,-1,,others
102,3,1,20,1,0,0,61,584,153,20,-1,,others
103,4,1,20,1,1,0,61,584,153,20,-1,,others
104,5,1,20,1,1,1,61,584,153,20,91,Destinazione:,destinazione_key
105,2,1,21,0,0,0,48,614,1570,2,-1,,others
106,3,1,21,1,0,0,48,614,1570,2,-1,,others
107,4,1,21,1,1,0,48,614,1570,2,-1,,others
108,5,1,21,1,1,1,48,614,1570,2,95, ,others
109,2,1,22,0,0,0,543,650,589,23,-1,,others
110,3,1,22,1,0,0,543,650,589,23,-1,,others
111,4,1,22,1,1,0,543,650,589,23,-1,,others
112,5,1,22,1,1,1,543,650,170,23,91,IMPORTANTE,others
113,5,1,22,1,1,2,715,650,129,23,91,LEGGERE,others
114,5,1,22,1,1,3,847,651,94,21,96,PRIMA,others
115,5,1,22,1,1,4,943,651,55,21,88,DI,others
116,5,1,22,1,1,5,1010,651,122,21,90,PARTIRE:,others
117,2,1,23,0,0,0,44,863,1578,107,-1,,others
118,3,1,23,1,0,0,44,863,1578,107,-1,,others
119,4,1,23,1,1,0,44,863,1578,62,-1,,others
120,5,1,23,1,1,1,44,863,1578,62,95,    ,others
121,4,1,23,1,2,0,44,925,697,45,-1,,others
122,5,1,23,1,2,1,44,925,697,45,95,  ,others
123,2,1,24,0,0,0,728,884,219,23,-1,,others
124,3,1,24,1,0,0,728,884,219,23,-1,,others
125,4,1,24,1,1,0,728,884,219,23,-1,,others
126,5,1,24,1,1,1,728,885,39,21,93,DA,others
127,5,1,24,1,1,2,776,884,171,23,92,COMPILARE:,others
128,2,1,25,0,0,0,77,936,1537,75,-1,,others
129,3,1,25,1,0,0,77,936,1537,75,-1,,others
130,4,1,25,1,1,0,741,936,789,23,-1,,others
131,5,1,25,1,1,1,741,936,58,23,93,ORA,others
132,5,1,25,1,1,2,809,937,29,21,92,DI,others
133,5,1,25,1,1,3,846,936,95,23,92,INIZIO:,others
134,5,1,25,1,1,4,1363,937,27,21,91,N.,others
135,5,1,25,1,1,5,1401,936,129,23,92,PERSONE,others
136,4,1,25,1,2,0,77,963,1537,23,-1,,others
137,5,1,25,1,2,1,77,963,207,23,88,MANODOPERA,others
138,5,1,25,1,2,2,0,0,1653,2339,46,Cs,others
139,5,1,25,1,2,3,745,973,19,2,16,fr,others
140,5,1,25,1,2,4,770,973,844,2,0,nnnnnnnnnnnrttecereeerereeeeeteteceeeredfeeeeeeeeterenenererteeeeees,others
141,4,1,25,1,3,0,741,988,176,23,-1,,others
142,5,1,25,1,3,1,741,988,58,23,91,ORA,others
143,5,1,25,1,3,2,809,989,20,21,93,DI,others
144,5,1,25,1,3,3,830,989,87,21,95,FINE:,others
145,2,1,26,0,0,0,44,925,1578,431,-1,,others
146,3,1,26,1,0,0,44,925,1578,431,-1,,others
147,4,1,26,1,1,0,941,925,681,45,-1,,others
148,5,1,26,1,1,1,941,925,422,45,95, ,others
149,5,1,26,1,1,2,1530,925,92,45,95, ,others
150,4,1,26,1,2,0,44,997,1578,137,-1,,others
151,5,1,26,1,2,1,44,997,1578,137,95,  ,others
152,4,1,26,1,3,0,44,1134,1578,52,-1,,others
153,5,1,26,1,3,1,44,1134,1578,52,95,   ,others
154,4,1,26,1,4,0,44,1186,699,170,-1,,others
155,5,1,26,1,4,1,44,1186,31,45,95, ,others
156,5,1,26,1,4,2,334,1186,409,170,95,  ,others
157,2,1,27,0,0,0,44,970,1228,52,-1,,others
158,3,1,27,1,0,0,44,970,1228,52,-1,,others
159,4,1,27,1,1,0,725,970,547,27,-1,,others
160,5,1,27,1,1,1,725,970,547,27,95,   ,others
161,4,1,27,1,2,0,44,997,697,25,-1,,others
162,5,1,27,1,2,1,44,997,697,25,95, ,others
163,2,1,28,0,0,0,77,1145,233,23,-1,,others
164,3,1,28,1,0,0,77,1145,233,23,-1,,others
165,4,1,28,1,1,0,77,1145,233,23,-1,,others
166,5,1,28,1,1,1,77,1145,121,23,89,UTILIZZO,others
167,5,1,28,1,1,2,209,1145,101,23,89,RAGNO,others
168,2,1,29,0,0,0,48,1233,681,2,-1,,others
169,3,1,29,1,0,0,48,1233,681,2,-1,,others
170,4,1,29,1,1,0,48,1233,681,2,-1,,others
171,5,1,29,1,1,1,48,1233,681,2,95, ,others
